3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,"Rolling mean, w=40","Rolling mean, w=10","Weighted rolling mean, a=0.05",,
157,88,65,1499,73,160,53,1045,67,5699,66,16,2,1,138,0,10,1,102,4,123,2,65.875,108.2,80.95011686,0.06,
160,76,56,1401,70,160,44,1169,62,5378,89,3,12,9,98,3,0,9,124,5,321,23,68.65,116.5,85.69310985,0.06,
144,71,56,1374,59,153,58,1553,60,5042,88,16,5,0,27,11,7,14,384,2,336,1,70.675,122.4,89.19152326,0.06,
154,88,48,1365,56,160,59,1588,65,4654,95,10,17,8,9,3,7,1,35,5,388,7,73.6,129.5,93.08003186,0.06,
148,97,43,1626,58,147,67,1577,53,4405,93,6,9,5,261,2,13,8,11,12,249,2,76.35,135.5,96.37522995,0.06,
144,112,42,1736,65,149,71,1512,49,4198,104,4,15,1,110,7,2,4,65,4,207,11,78.85,139.8,99.23271615,0.06,
142,123,51,2060,86,140,70,1423,46,4081,98,2,11,9,324,21,9,1,89,3,117,6,81.15,143.8,101.7987532,0.06,
135,159,41,2200,78,144,63,1286,52,3872,112,7,36,10,140,8,4,7,137,6,209,14,83.425,146.2,103.790828,0.06,
131,160,38,2592,74,129,73,1175,43,3384,107,4,1,3,392,4,15,10,111,9,488,5,85.475,145.6,105.4233783,0.06,
138,155,33,2642,100,129,88,1097,44,2590,109,7,5,5,50,26,0,15,78,1,794,2,87.525,145.3,107.3779756,0.06,
134,146,36,2672,117,125,94,1012,40,2253,98,4,9,3,30,17,4,6,85,4,337,11,89.725,143,108.9752971,0.06,
137,144,33,2461,114,121,92,935,46,2075,101,3,2,3,211,3,4,2,77,6,178,3,92.025,140.7,110.6567793,0.06,
132,139,32,2033,126,113,94,852,47,1999,101,5,5,1,428,12,8,2,83,1,76,0,94.05,139.5,111.9373725,0.06,
121,130,40,1701,129,124,102,816,52,1871,88,11,9,8,332,3,11,8,36,5,128,13,95.8,136.2,112.4811301,0.06,
120,125,31,1077,138,121,94,932,42,1755,90,1,5,9,624,9,3,8,116,10,116,2,97.5,133.4,112.9322623,0.06,
100,119,27,954,142,121,101,1955,47,1841,93,20,6,4,123,4,0,7,1023,5,86,3,98.775,129,112.1563266,0.06,
93,123,39,845,138,118,94,2545,49,3210,84,7,4,12,109,4,3,7,590,2,1369,9,99.875,124.1,111.006947,0.06,
82,98,36,822,129,118,90,1837,47,4390,89,11,25,3,23,9,0,4,708,2,1180,5,100.925,118.8,109.2665302,0.06,
94,85,33,778,138,111,85,1721,45,5430,89,12,13,3,44,9,7,5,116,2,1040,0,102,115.1,108.3505384,0.06,
79,80,31,732,141,108,84,1461,56,5246,95,15,5,2,46,3,3,1,260,11,184,6,102.75,109.2,106.5895061,0.06,
73,92,27,696,134,106,82,1354,66,4705,86,6,12,4,36,7,2,2,107,10,541,9,103.4,103.1,104.5741357,0.06,
80,76,21,661,141,93,78,1181,71,4112,96,7,16,6,35,7,13,4,173,5,593,10,104.075,97.4,103.0996876,0.06,
84,61,23,658,146,85,72,1097,64,3255,87,4,15,2,3,5,8,6,84,7,857,9,104.7,92.6,101.9537063,0.06,
78,69,32,678,144,80,71,989,67,2815,87,6,8,9,20,2,5,1,108,3,440,0,105.15,88.3,100.5164839,0.06,
76,55,35,753,156,80,62,911,76,2455,69,2,14,3,75,12,0,9,78,9,360,18,105.575,83.9,99.04549489,0.06,
84,51,22,992,148,86,70,841,69,2477,81,8,4,13,239,8,6,8,70,7,22,12,106.45,82.3,98.1427652,0.06,
93,53,25,1040,134,95,71,768,67,2153,93,9,2,3,48,14,9,1,73,2,324,12,107.5,82.3,97.83419929,0.06,
86,52,21,939,149,88,63,704,75,1992,91,7,1,4,101,15,7,8,64,8,161,2,108.325,82.7,97.12414733,0.06,
103,52,29,772,162,90,60,633,74,1829,88,17,0,8,167,13,2,3,71,1,163,3,109.325,83.6,97.47669849,0.06,
97,57,28,673,176,85,67,550,68,1555,106,6,5,1,99,14,5,7,83,6,274,18,110,85.4,97.44809658,0.06,
84,64,29,579,199,85,59,476,73,1377,123,13,7,1,94,23,0,8,74,5,178,17,110.2,86.5,96.64121079,0.06,
91,69,32,519,194,101,42,252,72,1086,123,7,5,3,60,5,16,17,224,1,291,0,110.55,87.6,96.30273814,0.06,
108,77,28,469,194,108,50,168,79,917,119,17,8,4,50,0,7,8,84,7,169,4,111.125,90,97.00457385,0.06,
104,83,28,433,199,108,54,116,75,791,107,4,6,0,36,5,0,4,52,4,126,12,111.65,92.6,97.42429942,0.06,
88,84,25,429,193,112,54,112,73,657,110,16,1,3,4,6,4,0,4,2,134,3,111.65,93.8,96.85884146,0.06,
90,89,26,409,201,125,47,92,64,592,102,2,5,1,20,8,13,7,20,9,65,8,111.375,94.4,96.44731097,0.06,
80,96,20,398,202,125,48,93,61,560,94,10,7,6,11,1,0,1,1,3,32,8,110.825,93.1,95.46047231,0.06,
74,101,26,345,179,126,34,89,65,527,88,6,5,6,53,23,1,14,4,4,33,6,109.9,91.9,94.17284397,0.06,
79,98,26,330,170,150,45,85,61,488,99,5,3,0,15,9,24,11,4,4,39,11,108.45,89.5,93.26247333,0.06,
69,103,27,312,172,157,35,109,68,547,100,10,5,1,18,2,7,10,24,7,59,1,106.65,86.7,91.80672493,0.06,
64,97,26,294,153,262,34,209,66,735,102,5,6,1,18,19,105,1,100,2,188,2,104.325,84.7,90.13832144,0.06,
